Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Carved Sandalwood Watch,carved-sandalwood-watch,"Warm sandalwood analog watch with a hand-carved geometric dial and a braided hemp strap. Mild natural fragrance. Eco-conscious luxury for mindful dressers.",Indie by Curio,Apparel & Accessories > Jewelry > Watches,Wooden Watch,"Watch, Analog, Wooden, Sandalwood, Carved, Artisanal, Handcrafted, Eco-Friendly, Casual, Natural, Accessories, Unisex, Aromatic",TRUE,Active,IDW-006-SND,,Color,Natural Sandalwood,,,,,,,,3299.00,4499.00,1485.00,TRUE,,,,,,shopify,30,DENY,70,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Carved+Sandalwood+Watch,1,Carved Sandalwood Watch - Natural Sandalwood,,FALSE,Carved Sandalwood Watch - Indie by Curio,Hand-carved sandalwood analog watch with braided hemp strap. Eco-conscious artisan piece from Indie by Curio.,natural; beige,Apparel & Accessories > Jewelry > Watches,Unisex,Adult (13+ years old),IDW-006-SND,Wooden Watch,New,New,FALSE,,,,,
,carved-sandalwood-watch,,,,,,,,IDW-006-DAR,,,Dark Rosewood,,,,,,,,3299.00,4499.00,1485.00,TRUE,,,,,,shopify,30,DENY,70,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Ikat Woven Strap Watch,ikat-woven-strap-watch,"Cheerful analog watch with a clean white dial and a vibrant handwoven Ikat fabric strap. Each strap is individually woven — no two are identical.",Indie by Curio,Apparel & Accessories > Jewelry > Watches,Analog Watch,"Watch, Analog, Ikat, Woven, Fabric Strap, Handcrafted, Artisanal, Casual, Festive, Ethnic, Colorful, Accessories, Unisex",TRUE,Active,IDW-007-TUR,,Color,Turquoise Ikat,,,,,,,,2499.00,3499.00,1125.00,TRUE,,,,,,shopify,30,DENY,65,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Ikat+Woven+Strap+Watch,1,Ikat Woven Strap Watch - Turquoise Ikat,,FALSE,Ikat Woven Strap Watch - Indie by Curio,Analog watch with handwoven Ikat fabric strap. Each piece unique — artisan made at Indie by Curio.,turquoise; multicolor,Apparel & Accessories > Jewelry > Watches,Unisex,Adult (13+ years old),IDW-007-TUR,Analog Watch,New,New,FALSE,,,,,
,ikat-woven-strap-watch,,,,,,,,IDW-007-RED,,,Red Ikat,,,,,,,,2499.00,3499.00,1125.00,TRUE,,,,,,shopify,30,DENY,65,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Copper Heritage Dial Watch,copper-heritage-dial-watch,"Striking analog watch with a hammered copper dial and an aged brown leather strap. The oxidisation deepens with time for a truly personal heirloom.",Indie by Curio,Apparel & Accessories > Jewelry > Watches,Analog Watch,"Watch, Analog, Copper, Heritage, Artisanal, Handcrafted, Vintage, Casual, Formal, Accessories, Men, Heirloom, Aging, Office Outfit, Complete Outfit",TRUE,Active,IDW-008-COP,,Color,Hammered Copper,,,,,,,,3599.00,4999.00,1620.00,TRUE,,,,,,shopify,30,DENY,115,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Copper+Heritage+Dial+Watch,1,Copper Heritage Dial Watch - Hammered Copper,,FALSE,Copper Heritage Dial Watch - Indie by Curio,Hammered copper dial watch that patinas with age. Artisanal heirloom piece from Indie by Curio.,copper; brown,Apparel & Accessories > Jewelry > Watches,Male,Adult (13+ years old),IDW-008-COP,Analog Watch,New,New,FALSE,,,,,
,copper-heritage-dial-watch,,,,,,,,IDW-008-VRD,,,Verdigris Green,,,,,,,,3599.00,4999.00,1620.00,TRUE,,,,,,shopify,30,DENY,115,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Chikankari Embroidered Kurti,chikankari-embroidered-kurti,"Delicate Chikankari hand embroidery on soft cotton in classic white. Round neck and full sleeves with a straight cut. Perfect for festive gatherings and formal occasions.",Indie by Curio,Apparel & Accessories > Clothing,Kurti,"Kurti, Women, Chikankari, Embroidered, White, Round Neck, Full Sleeve, Straight Cut, Festive, Formal, Wedding, Artisanal, Handcrafted, Complete Outfit",TRUE,Active,IDF-001-S,,Size,S,,,,,,,,1999.00,2799.00,900.00,TRUE,,,,,,shopify,20,DENY,230,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Chikankari+Embroidered+Kurti,1,Chikankari Embroidered Kurti,,FALSE,Chikankari Embroidered Kurti - Indie by Curio,Hand-embroidered Chikankari white kurti. Full sleeve festive ethnic wear for women from Indie by Curio.,white,Apparel & Accessories > Clothing,Female,Adult (13+ years old),IDF-001-S,Kurti,New,New,FALSE,,,,,
,chikankari-embroidered-kurti,,,,,,,,IDF-001-M,,,M,,,,,,,,1999.00,2799.00,900.00,TRUE,,,,,,shopify,20,DENY,230,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,chikankari-embroidered-kurti,,,,,,,,IDF-001-L,,,L,,,,,,,,1999.00,2799.00,900.00,TRUE,,,,,,shopify,20,DENY,240,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,chikankari-embroidered-kurti,,,,,,,,IDF-001-XL,,,XL,,,,,,,,2199.00,2999.00,990.00,TRUE,,,,,,shopify,15,DENY,250,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Bandhani Tie-Dye Kurti,bandhani-tie-dye-kurti,"Vibrant Bandhani tie-dye kurti in deep red and white with a classic round neck and three-quarter sleeves. Traditional Rajasthani craft with a contemporary fit.",Indie by Curio,Apparel & Accessories > Clothing,Kurti,"Kurti, Women, Bandhani, Tie-Dye, Red, White, Round Neck, Three Quarter Sleeve, A Line, Casual, Festive, Ethnic, Artisanal, Rajasthani",TRUE,Active,IDF-002-S,,Size,S,,,,,,,,1499.00,2099.00,675.00,TRUE,,,,,,shopify,20,DENY,210,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Bandhani+Tie-Dye+Kurti,1,Bandhani Tie-Dye Kurti,,FALSE,Bandhani Tie-Dye Kurti - Indie by Curio,Bandhani tie-dye red kurti with round neck. Rajasthani artisan craft for women from Indie by Curio.,red; white,Apparel & Accessories > Clothing,Female,Adult (13+ years old),IDF-002-S,Kurti,New,New,FALSE,,,,,
,bandhani-tie-dye-kurti,,,,,,,,IDF-002-M,,,M,,,,,,,,1499.00,2099.00,675.00,TRUE,,,,,,shopify,20,DENY,210,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,bandhani-tie-dye-kurti,,,,,,,,IDF-002-L,,,L,,,,,,,,1499.00,2099.00,675.00,TRUE,,,,,,shopify,20,DENY,220,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,bandhani-tie-dye-kurti,,,,,,,,IDF-002-XL,,,XL,,,,,,,,1699.00,2299.00,765.00,TRUE,,,,,,shopify,15,DENY,230,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Kantha Stitch Kurti,kantha-stitch-kurti,"Handwoven cotton kurti adorned with running Kantha stitch embroidery in multicolor thread on a soft mustard base. V-neck and three-quarter sleeves with a relaxed fit.",Indie by Curio,Apparel & Accessories > Clothing,Kurti,"Kurti, Women, Kantha, Stitch, Embroidered, Mustard, Multicolor, V Neck, Three Quarter Sleeve, Relaxed Fit, Casual, Festive, Ethnic, Artisanal, Bengali",TRUE,Active,IDF-003-S,,Size,S,,,,,,,,1799.00,2499.00,810.00,TRUE,,,,,,shopify,20,DENY,225,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Kantha+Stitch+Kurti,1,Kantha Stitch Kurti,,FALSE,Kantha Stitch Kurti - Indie by Curio,Kantha stitch embroidered mustard kurti with V-neck. Bengali artisan craft for women from Indie by Curio.,mustard; multicolor,Apparel & Accessories > Clothing,Female,Adult (13+ years old),IDF-003-S,Kurti,New,New,FALSE,,,,,
,kantha-stitch-kurti,,,,,,,,IDF-003-M,,,M,,,,,,,,1799.00,2499.00,810.00,TRUE,,,,,,shopify,20,DENY,225,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,kantha-stitch-kurti,,,,,,,,IDF-003-L,,,L,,,,,,,,1799.00,2499.00,810.00,TRUE,,,,,,shopify,20,DENY,235,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,kantha-stitch-kurti,,,,,,,,IDF-003-XL,,,XL,,,,,,,,1999.00,2699.00,900.00,TRUE,,,,,,shopify,15,DENY,245,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Mirror Work Festive Kurti,mirror-work-festive-kurti,"Striking sleeveless kurti in sunshine yellow with dense hand-applied mirror work and embroidery around the neckline and hem. Round neck and relaxed A-line fit for festive occasions.",Indie by Curio,Apparel & Accessories > Clothing,Kurti,"Kurti, Women, Mirror Work, Embroidered, Yellow, Round Neck, Sleeveless, A Line, Festive, Wedding, Ethnic, Artisanal, Handcrafted, Gujarati",TRUE,Active,IDF-004-S,,Size,S,,,,,,,,2299.00,3199.00,1035.00,TRUE,,,,,,shopify,20,DENY,215,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Mirror+Work+Festive+Kurti,1,Mirror Work Festive Kurti,,FALSE,Mirror Work Festive Kurti - Indie by Curio,Hand-applied mirror work festive kurti in yellow. Gujarati artisan craft for women from Indie by Curio.,yellow; multicolor,Apparel & Accessories > Clothing,Female,Adult (13+ years old),IDF-004-S,Kurti,New,New,FALSE,,,,,
,mirror-work-festive-kurti,,,,,,,,IDF-004-M,,,M,,,,,,,,2299.00,3199.00,1035.00,TRUE,,,,,,shopify,20,DENY,215,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,mirror-work-festive-kurti,,,,,,,,IDF-004-L,,,L,,,,,,,,2299.00,3199.00,1035.00,TRUE,,,,,,shopify,20,DENY,225,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,mirror-work-festive-kurti,,,,,,,,IDF-004-XL,,,XL,,,,,,,,2499.00,3499.00,1125.00,TRUE,,,,,,shopify,15,DENY,235,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Linen Applique Kurti,linen-applique-kurti,"Breezy handloom linen kurti in sage green with delicate hand-sewn applique motifs at the hem and collar. V-neck and half sleeves with a straight relaxed cut.",Indie by Curio,Apparel & Accessories > Clothing,Kurti,"Kurti, Women, Linen, Applique, Sage Green, V Neck, Half Sleeve, Straight Cut, Casual, Festive, Artisanal, Handcrafted, Ethnic, Natural",TRUE,Active,IDF-005-S,,Size,S,,,,,,,,1699.00,2299.00,765.00,TRUE,,,,,,shopify,20,DENY,205,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Linen+Applique+Kurti,1,Linen Applique Kurti,,FALSE,Linen Applique Kurti for Women - Indie by Curio,Sage green linen kurti with hand-sewn applique. V-neck half-sleeve casual ethnic wear from Indie by Curio.,sage green,Apparel & Accessories > Clothing,Female,Adult (13+ years old),IDF-005-S,Kurti,New,New,FALSE,,,,,
,linen-applique-kurti,,,,,,,,IDF-005-M,,,M,,,,,,,,1699.00,2299.00,765.00,TRUE,,,,,,shopify,20,DENY,205,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,linen-applique-kurti,,,,,,,,IDF-005-L,,,L,,,,,,,,1699.00,2299.00,765.00,TRUE,,,,,,shopify,20,DENY,215,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,linen-applique-kurti,,,,,,,,IDF-005-XL,,,XL,,,,,,,,1899.00,2499.00,855.00,TRUE,,,,,,shopify,15,DENY,225,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Madhubani Print Kurti,madhubani-print-kurti,"Vibrant kurti featuring a hand-painted Madhubani art motif in ochre yellow and black on fine cotton. Round neck and full sleeves with a flared A-line hem.",Indie by Curio,Apparel & Accessories > Clothing,Kurti,"Kurti, Women, Madhubani, Print, Yellow, Ochre, Black, Round Neck, Full Sleeve, A Line, Festive, Cultural, Artisanal, Ethnic, Handcrafted, Bihar",TRUE,Active,IDF-006-S,,Size,S,,,,,,,,1899.00,2599.00,855.00,TRUE,,,,,,shopify,20,DENY,220,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Madhubani+Print+Kurti,1,Madhubani Print Kurti,,FALSE,Madhubani Print Kurti for Women - Indie by Curio,Ochre yellow Madhubani art kurti with round neck. Hand-painted festive ethnic wear from Indie by Curio.,yellow; black,Apparel & Accessories > Clothing,Female,Adult (13+ years old),IDF-006-S,Kurti,New,New,FALSE,,,,,
,madhubani-print-kurti,,,,,,,,IDF-006-M,,,M,,,,,,,,1899.00,2599.00,855.00,TRUE,,,,,,shopify,20,DENY,220,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,madhubani-print-kurti,,,,,,,,IDF-006-L,,,L,,,,,,,,1899.00,2599.00,855.00,TRUE,,,,,,shopify,20,DENY,230,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,madhubani-print-kurti,,,,,,,,IDF-006-XL,,,XL,,,,,,,,2099.00,2799.00,945.00,TRUE,,,,,,shopify,15,DENY,240,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Kumkumadi Brightening Face Oil,kumkumadi-brightening-face-oil,"Pure Ayurvedic Kumkumadi face oil with saffron, sandalwood and 16 rare herbs cold-pressed in sesame base. Brightens complexion and reduces dark spots with nightly use.",Indie by Curio,Health & Beauty > Skin Care,Face Oil,"Skincare, Face Oil, Kumkumadi, Ayurvedic, Saffron, Sandalwood, Brightening, Dark Spots, Natural, Artisanal, Handcrafted, Herbal, Nourishing, Night Care, Unisex",TRUE,Active,IDSK-001,,Pack,20ml,,,,,,,,1599.00,2199.00,720.00,TRUE,,,,,,shopify,40,DENY,55,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Kumkumadi+Brightening+Face+Oil,1,Kumkumadi Brightening Face Oil 20ml,,FALSE,Kumkumadi Brightening Face Oil - Indie by Curio,Ayurvedic Kumkumadi face oil with saffron and sandalwood. Brightens complexion and reduces dark spots.,,Health & Beauty > Skin Care,Unisex,Adult (13+ years old),IDSK-001,Face Oil,New,New,FALSE,,,,,
Rose & Saffron Glow Face Pack,rose-saffron-glow-face-pack,"Handcrafted clay face pack blended with dried rose petals and raw saffron. Draws out impurities while leaving skin luminous and soft. Free from parabens and SLS.",Indie by Curio,Health & Beauty > Skin Care,Face Pack,"Skincare, Face Pack, Rose, Saffron, Clay, Natural, Ayurvedic, Brightening, Glow, Artisanal, Handcrafted, Herbal, Paraben Free, SLS Free, Unisex",TRUE,Active,IDSK-002,,Pack,100g,,,,,,,,699.00,999.00,315.00,TRUE,,,,,,shopify,50,DENY,130,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Rose+Saffron+Glow+Face+Pack,1,Rose and Saffron Glow Face Pack 100g,,FALSE,Rose and Saffron Glow Face Pack - Indie by Curio,Handcrafted rose and saffron clay face pack. Natural Ayurvedic brightening mask from Indie by Curio.,,Health & Beauty > Skin Care,Unisex,Adult (13+ years old),IDSK-002,Face Pack,New,New,FALSE,,,,,
Neem Tulsi Clarifying Face Wash,neem-tulsi-clarifying-face-wash,"Gentle herbal face wash infused with neem leaf extract and tulsi for deep cleansing without stripping natural oils. Controls acne and excess sebum. Suitable for oily and combination skin.",Indie by Curio,Health & Beauty > Skin Care,Face Wash,"Skincare, Face Wash, Neem, Tulsi, Herbal, Natural, Clarifying, Acne Control, Oily Skin, Combination Skin, Artisanal, Ayurvedic, Daily, Gentle, Unisex",TRUE,Active,IDSK-003,,Pack,150ml,,,,,,,,499.00,699.00,225.00,TRUE,,,,,,shopify,60,DENY,175,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Neem+Tulsi+Clarifying+Face+Wash,1,Neem Tulsi Clarifying Face Wash 150ml,,FALSE,Neem Tulsi Clarifying Face Wash - Indie by Curio,Herbal neem and tulsi face wash for deep cleansing. Controls acne and sebum naturally.,,Health & Beauty > Skin Care,Unisex,Adult (13+ years old),IDSK-003,Face Wash,New,New,FALSE,,,,,
Handcrafted Kolhapuri Chappal,handcrafted-kolhapuri-chappal,"Genuine leather Kolhapuri chappal hand-crafted by artisans in Maharashtra. Intricate punched leather upper with a durable leather sole — traditional craft for everyday wear.",Indie by Curio,Apparel & Accessories > Shoes,Chappal,"Footwear, Kolhapuri, Chappal, Handcrafted, Artisanal, Ethnic, Casual, Festive, Tan, Leather, Unisex, Traditional, Maharashtra, Complete Outfit",TRUE,Active,IDFW-001-UK5,,Size,UK 5,,,,,,,,1299.00,1799.00,585.00,TRUE,,,,,,shopify,20,DENY,340,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Handcrafted+Kolhapuri+Chappal,1,Handcrafted Kolhapuri Chappal - UK 5,,FALSE,Handcrafted Kolhapuri Chappal - Indie by Curio,Genuine leather Kolhapuri chappal handcrafted in Maharashtra. Traditional artisan ethnic footwear.,tan; brown,Apparel & Accessories > Shoes,Unisex,Adult (13+ years old),IDFW-001-UK5,Chappal,New,New,FALSE,,,,,
,handcrafted-kolhapuri-chappal,,,,,,,,IDFW-001-UK6,,,UK 6,,,,,,,,1299.00,1799.00,585.00,TRUE,,,,,,shopify,20,DENY,350,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,handcrafted-kolhapuri-chappal,,,,,,,,IDFW-001-UK7,,,UK 7,,,,,,,,1299.00,1799.00,585.00,TRUE,,,,,,shopify,20,DENY,360,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,handcrafted-kolhapuri-chappal,,,,,,,,IDFW-001-UK8,,,UK 8,,,,,,,,1299.00,1799.00,585.00,TRUE,,,,,,shopify,15,DENY,370,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Block Print Canvas Sneakers,block-print-canvas-sneakers,"Hand block-printed canvas sneakers with a rubber sole. Each pair features a unique Bagru-inspired print — no two are exactly alike. Vibrant everyday casual footwear.",Indie by Curio,Apparel & Accessories > Shoes,Sneakers,"Footwear, Sneakers, Canvas, Block Print, Bagru, Artisanal, Handcrafted, Casual, Colorful, Multicolor, Unisex, Ethnic, Unique, Everyday",TRUE,Active,IDFW-002-UK5,,Size,UK 5,,,,,,,,1799.00,2499.00,810.00,TRUE,,,,,,shopify,20,DENY,360,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Block+Print+Canvas+Sneakers,1,Block Print Canvas Sneakers - UK 5,,FALSE,Block Print Canvas Sneakers - Indie by Curio,Hand block-printed canvas sneakers with unique Bagru print. Artisan casual footwear from Indie by Curio.,multicolor,Apparel & Accessories > Shoes,Unisex,Adult (13+ years old),IDFW-002-UK5,Sneakers,New,New,FALSE,,,,,
,block-print-canvas-sneakers,,,,,,,,IDFW-002-UK6,,,UK 6,,,,,,,,1799.00,2499.00,810.00,TRUE,,,,,,shopify,20,DENY,370,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,block-print-canvas-sneakers,,,,,,,,IDFW-002-UK7,,,UK 7,,,,,,,,1799.00,2499.00,810.00,TRUE,,,,,,shopify,20,DENY,380,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,block-print-canvas-sneakers,,,,,,,,IDFW-002-UK8,,,UK 8,,,,,,,,1799.00,2499.00,810.00,TRUE,,,,,,shopify,15,DENY,390,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
