Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Two-Tone Dress Watch,two-tone-dress-watch,"Classic two-tone dress watch combining polished gold and silver on a stainless steel bracelet. Timeless elegance for weddings, office, or formal events.",Nova by Curio,Apparel & Accessories > Jewelry > Watches,Dress Watch,"Watch, Analog, Formal, Office, Premium, Gold, Silver, Two Tone, Metal Strap, Accessories, Unisex, Elegant, Wedding, Classic, Office Outfit, Complete Outfit",TRUE,Active,NVW-006-GS,,Color,Gold-Silver,,,,,,,,5499,6999,2475,TRUE,,,,,,shopify,30,DENY,150,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Two-Tone+Dress+Watch,1,Two-Tone Dress Watch - Gold-Silver,,FALSE,Two-Tone Dress Watch - Nova by Curio,Classic two-tone gold-silver dress watch. Timeless elegance for weddings and office wear.,gold; silver,Apparel & Accessories > Jewelry > Watches,Unisex,Adult (13+ years old),NVW-006-GS,Dress Watch,New,New,FALSE,,,,,
,two-tone-dress-watch,,,,,,,,NVW-006-GLD,,,All Gold,,,,,,,,5499,6999,2475,TRUE,,,,,,shopify,30,DENY,150,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Geometric Face Watch,geometric-face-watch,Angular geometric dial watch with sharp clean lines and a modern edge. Matte leather strap in two bold colorways.,Nova by Curio,Apparel & Accessories > Jewelry > Watches,Geometric Watch,"Watch, Analog, Contemporary, Casual, Geometric, Matte Black, Navy, Leather Strap, Modern, Accessories, Men, Edgy, Minimal",TRUE,Active,NVW-007-BLK,,Color,Matte Black,,,,,,,,2999,3999,1350,TRUE,,,,,,shopify,30,DENY,120,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Geometric+Face+Watch,1,Geometric Face Watch - Matte Black,,FALSE,Geometric Face Watch - Nova by Curio,Angular geometric face watch in matte black and navy. Contemporary design for men.,black; navy,Apparel & Accessories > Jewelry > Watches,Male,Adult (13+ years old),NVW-007-BLK,Geometric Watch,New,New,FALSE,,,,,
,geometric-face-watch,,,,,,,,NVW-007-NVY,,,Cobalt Navy,,,,,,,,2999,3999,1350,TRUE,,,,,,shopify,30,DENY,120,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Skeleton Mechanical Watch,skeleton-mechanical-watch,Hand-wound skeleton mechanical watch with an exposed movement visible through the open-heart dial. A collector-grade piece for formal occasions.,Nova by Curio,Apparel & Accessories > Jewelry > Watches,Mechanical Watch,"Watch, Mechanical, Skeleton, Premium, Black, Gunmetal, Silver, Leather Strap, Formal, Contemporary, Accessories, Men, Luxe, Office Outfit, Complete Outfit",TRUE,Active,NVW-008-BG,,Color,Black Gunmetal,,,,,,,,7999,9999,3600,TRUE,,,,,,shopify,30,DENY,160,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Skeleton+Mechanical+Watch,1,Skeleton Mechanical Watch - Black Gunmetal,,FALSE,Skeleton Mechanical Watch - Nova by Curio,Hand-wound skeleton mechanical watch with exposed movement. Premium formal watch from Nova.,black; gunmetal,Apparel & Accessories > Jewelry > Watches,Male,Adult (13+ years old),NVW-008-BG,Mechanical Watch,New,New,FALSE,,,,,
,skeleton-mechanical-watch,,,,,,,,NVW-008-SIL,,,Silver Steel,,,,,,,,7999,9999,3600,TRUE,,,,,,shopify,30,DENY,160,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Asymmetric Hem Kurti,asymmetric-hem-kurti,Women's contemporary kurti with an asymmetric hemline in classic black cotton. V-neck and half sleeves for a modern versatile look.,Nova by Curio,Apparel & Accessories > Clothing > Traditional Clothing,Kurti,"Kurti, Women, Cotton, Casual, Office, V Neck, Black, Half Sleeve, Contemporary, Asymmetric, Slim Fit, Modern, Chic, Office Outfit, Complete Outfit",TRUE,Active,NVF-001-S,,Size,S,,,,,,,,1399,1799,630,TRUE,,,,,,shopify,30,DENY,210,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Asymmetric+Hem+Kurti,1,Asymmetric Hem Kurti - Size S,,FALSE,Asymmetric Hem Kurti for Women - Nova by Curio,Asymmetric hem kurti for women in black. V-neck contemporary design for office and casual wear.,black,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult (13+ years old),NVF-001-S,Kurti,New,New,FALSE,,,,,
,asymmetric-hem-kurti,,,,,,,,NVF-001-M,,,M,,,,,,,,1399,1799,630,TRUE,,,,,,shopify,30,DENY,210,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,asymmetric-hem-kurti,,,,,,,,NVF-001-L,,,L,,,,,,,,1399,1799,630,TRUE,,,,,,shopify,30,DENY,210,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,asymmetric-hem-kurti,,,,,,,,NVF-001-XL,,,XL,,,,,,,,1399,1799,630,TRUE,,,,,,shopify,30,DENY,210,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Textured Sleeveless Kurti,textured-sleeveless-kurti,Women's terracotta cotton kurti with a subtle woven texture. Round neck sleeveless straight-cut design for easy everyday comfort.,Nova by Curio,Apparel & Accessories > Clothing > Traditional Clothing,Kurti,"Kurti, Women, Cotton, Casual, College, Round Neck, Terracotta, Sleeveless, Straight Cut, Contemporary, Comfortable",TRUE,Active,NVF-002-S,,Size,S,,,,,,,,999,1299,450,TRUE,,,,,,shopify,30,DENY,180,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Textured+Sleeveless+Kurti,1,Textured Sleeveless Kurti - Size S,,FALSE,Textured Sleeveless Kurti for Women - Nova by Curio,Terracotta textured sleeveless kurti for women. Round neck straight-cut for everyday comfort.,terracotta,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult (13+ years old),NVF-002-S,Kurti,New,New,FALSE,,,,,
,textured-sleeveless-kurti,,,,,,,,NVF-002-M,,,M,,,,,,,,999,1299,450,TRUE,,,,,,shopify,30,DENY,180,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,textured-sleeveless-kurti,,,,,,,,NVF-002-L,,,L,,,,,,,,999,1299,450,TRUE,,,,,,shopify,30,DENY,180,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,textured-sleeveless-kurti,,,,,,,,NVF-002-XL,,,XL,,,,,,,,999,1299,450,TRUE,,,,,,shopify,30,DENY,180,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Printed Straight Kurti,printed-straight-kurti,Women's olive green printed cotton kurti with a V-neck and three-quarter sleeves. Straight-cut silhouette for office and casual wear.,Nova by Curio,Apparel & Accessories > Clothing > Traditional Clothing,Kurti,"Kurti, Women, Cotton, Casual, Office, V Neck, Olive Green, Three Quarter Sleeve, Printed, Contemporary, Straight Cut, Office Outfit, Complete Outfit",TRUE,Active,NVF-003-S,,Size,S,,,,,,,,1299,1699,585,TRUE,,,,,,shopify,30,DENY,200,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Printed+Straight+Kurti,1,Printed Straight Kurti - Size S,,FALSE,Printed Straight Kurti for Women - Nova by Curio,Olive green printed straight kurti for women. V-neck design for casual and office wear.,olive green,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult (13+ years old),NVF-003-S,Kurti,New,New,FALSE,,,,,
,printed-straight-kurti,,,,,,,,NVF-003-M,,,M,,,,,,,,1299,1699,585,TRUE,,,,,,shopify,30,DENY,200,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,printed-straight-kurti,,,,,,,,NVF-003-L,,,L,,,,,,,,1299,1699,585,TRUE,,,,,,shopify,30,DENY,200,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,printed-straight-kurti,,,,,,,,NVF-003-XL,,,XL,,,,,,,,1299,1699,585,TRUE,,,,,,shopify,30,DENY,200,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Embossed Formal Kurti,embossed-formal-kurti,Women's cream cotton kurti with a self-embossed print and mandarin collar. Full sleeves and slim-fit for a polished office appearance.,Nova by Curio,Apparel & Accessories > Clothing > Traditional Clothing,Kurti,"Kurti, Women, Cotton, Office, Formal, Mandarin Collar, Cream, Full Sleeve, Slim Fit, Contemporary, Elegant, Classic, Office Outfit, Complete Outfit",TRUE,Active,NVF-004-S,,Size,S,,,,,,,,1699,2199,765,TRUE,,,,,,shopify,30,DENY,230,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Embossed+Formal+Kurti,1,Embossed Formal Kurti - Size S,,FALSE,Embossed Formal Kurti for Women - Nova by Curio,Cream embossed formal kurti for women. Mandarin collar slim-fit for office wear.,cream,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult (13+ years old),NVF-004-S,Kurti,New,New,FALSE,,,,,
,embossed-formal-kurti,,,,,,,,NVF-004-M,,,M,,,,,,,,1699,2199,765,TRUE,,,,,,shopify,30,DENY,230,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,embossed-formal-kurti,,,,,,,,NVF-004-L,,,L,,,,,,,,1699,2199,765,TRUE,,,,,,shopify,30,DENY,230,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,embossed-formal-kurti,,,,,,,,NVF-004-XL,,,XL,,,,,,,,1699,2199,765,TRUE,,,,,,shopify,30,DENY,230,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Wrap Style Satin Kurti,wrap-style-satin-kurti,Fluid satin kurti with a wrap-style front and a self-tie waist in deep navy. V-neck and full sleeves for a polished look that takes you from office to evening effortlessly.,Nova by Curio,Apparel & Accessories > Clothing > Traditional Clothing,Kurti,"Kurti, Women, Satin, Navy, V Neck, Full Sleeve, Slim Fit, Office, Formal, Elegant, Evening, Contemporary, Complete Outfit, Office Outfit",TRUE,Active,NVF-005-S,,Size,S,,,,,,,,1899,2499,855,TRUE,,,,,,shopify,25,DENY,195,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Wrap+Style+Satin+Kurti,1,Wrap Style Satin Kurti - Size S,,FALSE,Wrap Style Satin Kurti for Women - Nova by Curio,Navy satin wrap kurti with V-neck and full sleeves. Elegant office-to-evening wear from Nova by Curio.,navy,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult (13+ years old),NVF-005-S,Kurti,New,New,FALSE,,,,,
,wrap-style-satin-kurti,,,,,,,,NVF-005-M,,,M,,,,,,,,1899,2499,855,TRUE,,,,,,shopify,25,DENY,195,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,wrap-style-satin-kurti,,,,,,,,NVF-005-L,,,L,,,,,,,,1899,2499,855,TRUE,,,,,,shopify,25,DENY,195,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,wrap-style-satin-kurti,,,,,,,,NVF-005-XL,,,XL,,,,,,,,2099,2699,945,TRUE,,,,,,shopify,20,DENY,205,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Floral Georgette Kurti,floral-georgette-kurti,Lightweight floral georgette kurti in blush pink with a delicate printed pattern. Round neck and three-quarter sleeves with a flowy A-line silhouette for casual outings and college.,Nova by Curio,Apparel & Accessories > Clothing > Traditional Clothing,Kurti,"Kurti, Women, Georgette, Blush Pink, Round Neck, Three Quarter Sleeve, A Line, Casual, Festive, College, Floral, Contemporary, Printed, Lightweight",TRUE,Active,NVF-006-S,,Size,S,,,,,,,,1599,2099,720,TRUE,,,,,,shopify,25,DENY,170,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Floral+Georgette+Kurti,1,Floral Georgette Kurti - Size S,,FALSE,Floral Georgette Kurti for Women - Nova by Curio,Blush pink floral georgette kurti. Round neck A-line silhouette for casual and festive wear.,blush pink,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult (13+ years old),NVF-006-S,Kurti,New,New,FALSE,,,,,
,floral-georgette-kurti,,,,,,,,NVF-006-M,,,M,,,,,,,,1599,2099,720,TRUE,,,,,,shopify,25,DENY,170,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,floral-georgette-kurti,,,,,,,,NVF-006-L,,,L,,,,,,,,1599,2099,720,TRUE,,,,,,shopify,25,DENY,170,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,floral-georgette-kurti,,,,,,,,NVF-006-XL,,,XL,,,,,,,,1799,2299,810,TRUE,,,,,,shopify,20,DENY,180,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Vitamin C Brightening Serum,vitamin-c-brightening-serum,Fast-absorbing 15% Vitamin C serum that targets dark spots and dullness for a visible glow in 2 weeks. Stable L-ascorbic acid formula with Vitamin E and ferulic acid.,Nova by Curio,Health & Beauty > Skin Care,Serum,"Skincare, Serum, Vitamin C, Brightening, Dark Spots, Glow, Face Care, L-Ascorbic Acid, Daily, Unisex, Skin, Radiance, Anti-Dull",TRUE,Active,NVSK-001,,Pack,30ml,,,,,,,,1299,1799,585,TRUE,,,,,,shopify,50,DENY,60,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Vitamin+C+Brightening+Serum,1,Vitamin C Brightening Serum 30ml,,FALSE,Vitamin C Brightening Serum - Nova by Curio,15% Vitamin C serum for bright glowing skin. Stable formula with Vitamin E and ferulic acid.,,Health & Beauty > Skin Care,Unisex,Adult (13+ years old),NVSK-001,Serum,New,New,FALSE,,,,
Hydrating Matte SPF 50 Sunscreen,hydrating-matte-spf50-sunscreen,Lightweight SPF 50 sunscreen with a matte finish that never feels greasy. Broad-spectrum UVA/UVB protection with added hyaluronic acid for hydration without shine.,Nova by Curio,Health & Beauty > Skin Care,Sunscreen,"Skincare, Sunscreen, SPF 50, Matte Finish, Sun Protection, UVA, UVB, Hyaluronic Acid, Hydrating, Daily, Oily Skin, Face Care, Unisex, Non-Greasy",TRUE,Active,NVSK-002,,Pack,50ml,,,,,,,,799,1099,360,TRUE,,,,,,shopify,60,DENY,85,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Hydrating+Matte+SPF+50+Sunscreen,1,Hydrating Matte SPF 50 Sunscreen 50ml,,FALSE,Hydrating Matte SPF 50 Sunscreen - Nova by Curio,SPF 50 matte sunscreen with hyaluronic acid. Broad-spectrum protection without shine.,,Health & Beauty > Skin Care,Unisex,Adult (13+ years old),NVSK-002,Sunscreen,New,New,FALSE,,,,
Niacinamide Pore Minimising Toner,niacinamide-pore-minimising-toner,10% niacinamide alcohol-free toner that visibly minimises pores and controls sebum production. Packed with hyaluronic acid and zinc for a balanced clear complexion.,Nova by Curio,Health & Beauty > Skin Care,Toner,"Skincare, Toner, Niacinamide, Pore Minimising, Sebum Control, Oily Skin, Acne Prone, Hyaluronic Acid, Zinc, Daily, Face Care, Unisex, Clear Skin, Alcohol Free",TRUE,Active,NVSK-003,,Pack,100ml,,,,,,,,999,1399,450,TRUE,,,,,,shopify,50,DENY,120,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Niacinamide+Pore+Minimising+Toner,1,Niacinamide Pore Minimising Toner 100ml,,FALSE,Niacinamide Pore Minimising Toner - Nova by Curio,10% niacinamide toner for pore minimisation and sebum control. Alcohol-free formula.,,Health & Beauty > Skin Care,Unisex,Adult (13+ years old),NVSK-003,Toner,New,New,FALSE,,,,
Block Heel Office Pumps,block-heel-office-pumps,Polished block heel pumps in premium faux leather with a pointed toe. 6cm stable heel height gives elevation without discomfort — ideal for long office days.,Nova by Curio,Apparel & Accessories > Shoes,Heels,"Footwear, Heels, Block Heel, Office, Formal, Work, Women, Pumps, Pointed Toe, Black, Faux Leather, Complete Outfit, Office Outfit, Elegant",TRUE,Active,NVFW-001-UK4,,Size,UK 4,,,,,,,,2999,3999,1350,TRUE,,,,,,shopify,20,DENY,520,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Block+Heel+Office+Pumps,1,Block Heel Office Pumps - UK 4,,FALSE,Block Heel Office Pumps for Women - Nova by Curio,Block heel office pumps in black faux leather. 6cm stable heel for all-day office comfort.,black,Apparel & Accessories > Shoes,Female,Adult (13+ years old),NVFW-001-UK4,Heels,New,New,FALSE,,,,,
,block-heel-office-pumps,,,,,,,,NVFW-001-UK5,,,UK 5,,,,,,,,2999,3999,1350,TRUE,,,,,,shopify,20,DENY,530,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,block-heel-office-pumps,,,,,,,,NVFW-001-UK6,,,UK 6,,,,,,,,2999,3999,1350,TRUE,,,,,,shopify,20,DENY,540,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,block-heel-office-pumps,,,,,,,,NVFW-001-UK7,,,UK 7,,,,,,,,2999,3999,1350,TRUE,,,,,,shopify,15,DENY,550,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Minimal Leather Derby Shoes,minimal-leather-derby-shoes,Clean-cut leather derby shoes in classic black with a rubber sole. Slim last and burnished cap toe make them equally at home in a boardroom or at a dinner.,Nova by Curio,Apparel & Accessories > Shoes,Shoes,"Footwear, Shoes, Derby, Leather, Office, Formal, Work, Men, Classic, Black, Cap Toe, Rubber Sole, Complete Outfit, Office Outfit",TRUE,Active,NVFW-002-UK7,,Size,UK 7,,,,,,,,3499,4499,1575,TRUE,,,,,,shopify,15,DENY,680,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Minimal+Leather+Derby+Shoes,1,Minimal Leather Derby Shoes - UK 7,,FALSE,Minimal Leather Derby Shoes for Men - Nova by Curio,Leather derby shoes in black with cap toe. Classic formal footwear for office and formal events.,black,Apparel & Accessories > Shoes,Male,Adult (13+ years old),NVFW-002-UK7,Shoes,New,New,FALSE,,,,,
,minimal-leather-derby-shoes,,,,,,,,NVFW-002-UK8,,,UK 8,,,,,,,,3499,4499,1575,TRUE,,,,,,shopify,15,DENY,700,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,minimal-leather-derby-shoes,,,,,,,,NVFW-002-UK9,,,UK 9,,,,,,,,3499,4499,1575,TRUE,,,,,,shopify,15,DENY,720,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,minimal-leather-derby-shoes,,,,,,,,NVFW-002-UK10,,,UK 10,,,,,,,,3499,4499,1575,TRUE,,,,,,shopify,10,DENY,740,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Sporty Slip-On Sneakers,sporty-slip-on-sneakers,Lightweight slip-on sneakers with a breathable mesh upper and cushioned EVA sole. Versatile white colourway pairs with everything from joggers to chinos.,Nova by Curio,Apparel & Accessories > Shoes,Sneakers,"Footwear, Sneakers, Casual, Sporty, Slip On, Unisex, White, Breathable Mesh, EVA Sole, Comfortable, Everyday, Lightweight",TRUE,Active,NVFW-003-UK5,,Size,UK 5,,,,,,,,2299,2999,1035,TRUE,,,,,,shopify,20,DENY,380,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Sporty+Slip-On+Sneakers,1,Sporty Slip-On Sneakers - UK 5,,FALSE,Sporty Slip-On Sneakers - Nova by Curio,White mesh slip-on sneakers with EVA sole. Lightweight everyday casual footwear from Nova.,white,Apparel & Accessories > Shoes,Unisex,Adult (13+ years old),NVFW-003-UK5,Sneakers,New,New,FALSE,,,,,
,sporty-slip-on-sneakers,,,,,,,,NVFW-003-UK6,,,UK 6,,,,,,,,2299,2999,1035,TRUE,,,,,,shopify,20,DENY,390,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,sporty-slip-on-sneakers,,,,,,,,NVFW-003-UK7,,,UK 7,,,,,,,,2299,2999,1035,TRUE,,,,,,shopify,20,DENY,400,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,sporty-slip-on-sneakers,,,,,,,,NVFW-003-UK8,,,UK 8,,,,,,,,2299,2999,1035,TRUE,,,,,,shopify,15,DENY,410,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
